,robot_id,sum_running_time,avg_inst_temperature,sum_running_circles,avg_current_fluctuation,joint
8,Zu12110106,204055,52.33692239,71787.3984,1.126729475,4
9,Zu7210079,9599314,51.58745438,125903.7969,0.358557697,4
10,Zu3100177,18080651,49.401740000000004,1021918.0,0.8653549999999999,4
11,Zu7210116,10437925,51.415134,2017728.0,1.394114556,4
12,Zu7210007,10313728,57.27925313,3939374.0,10.40826894,4
13,Zu7250287,9732965,47.89738589,92937.2031,0.202831605,4
14,Zu12100097,1132657,48.0,1742547.0,15.393065,4
15,Zu3100212,16075144,50.613695,369937.0,2.638185,4
16,Zu7250085,4569545,33.34193548,185575.4063,0.439784946,4
17,Zu3110009,12527521,49.35200247,246678.4063,0.49032127299999995,4
18,Zu18100074,10440440,47.667871000000005,42912.6016,0.954513438,4
19,Zu3100022,5528419,49.223285,698385.0,3.9862849999999996,4
20,Zu7270004,10618079,50.185109999999995,111852.5,0.33136,4
21,Zu12100236,11165534,46.54567212,77537.6016,0.143018465,4
22,Zu7260015,10173797,50.57579058,91042.8984,0.45524715299999996,4
23,Zu7210133,15491980,51.89263064,2833809.0,2.009647164,4
24,Zu7250761,739960,48.08271845,173933.0,1.196504854,4
25,Zu7250768,737551,47.43875969,166366.0,0.908527132,4
26,Zu7250739,1646359,52.44750608,2317543.0,14.17304238,4
27,Zu5120148,337978,49.60681229,401766.0,10.16519807,4
28,Zu7250801,338093,51.10438336,514721.0,18.10319465,4
29,Zu7250790,910564,50.40766882,1259285.0,18.97137323,4
30,Zu7250806,243868,53.27347569,338174.0,15.89670697,4
31,Zu7250740,1906306,51.21429881,2934133.0,15.33005107,4
32,Zu7250809,252191,52.79882563,363876.0,14.13249936,4
33,Zu7250800,242653,52.58884842,347382.0,15.61861108,4
34,Zu7250812,242064,53.53003534,344950.0,17.18513377,4
35,Zu7250795,237591,52.23216547,241357.0,6.815590263,4
36,Zu7250811,244323,53.29053433,355096.0,16.83037941,4
37,Zu7250805,243727,53.80543878,393542.0,18.78704677,4
38,Zu7250815,238737,53.12509713,339243.0,14.23530174,4
39,Zu7250797,236612,53.64501432,336041.0,15.24954439,4
40,Zu7250777,1317937,52.68528047,514930.0,14.67212147,4
41,Zu7210031,11698161,50.60282222,2337846.0,0.079633291,4
42,Zu7250813,243977,54.49453095,347770.0,14.81495303,4
43,Zu7210180,11901451,55.42038119,889497.0,12.80525669,4
0,Zu7210015,10664959,50.015884299999996,26715.0,0.6359437139999999,5
1,Zu7210070,23654346,48.50964217,2357474.0,1.131061174,5
2,Zu12100040,1318601,51.065505,1045185.0,10.996414999999999,5
3,Zu3100091,13982800,48.170405,400250.5938,1.0183235000000002,5
4,Zu7250098,12819108,50.29556902,801595.0,2.830408929,5
5,C7300104,58058,50.94520548,41516.0,15.4109589,5
6,C7300105,179417,48.21348315,105211.0,13.25842697,5
7,Zu12100319,567558,54.19791007,40503.8984,0.652322145,5
8,Zu12110106,204055,55.58716913,33735.6016,1.336644235,5
9,Zu7210079,9599314,52.49020862,47449.3984,0.35893177299999995,5
10,Zu3100177,18080651,50.710225,353397.0,6.155605,5
11,Zu7210116,10437925,54.70257488,951334.0,2.070415134,5
12,Zu7210007,10313728,59.63660613,4370175.0,7.642411642000001,5
13,Zu7250287,9732965,49.77726016,26713.8008,0.271229321,5
14,Zu12100097,1132657,48.514415,1023894.0,11.678165,5
15,Zu3100212,16075144,51.612325,379510.0,3.234755,5
16,Zu7250085,4569545,33.60322581,89259.7969,0.47172043,5
17,Zu3110009,12527521,51.43953222,242530.4063,0.485933371,5
18,Zu18100074,10440440,48.59827699,30279.6992,0.795284164,5
19,Zu3100022,5528419,51.0875,287766.0,5.348990000000001,5
20,Zu7270004,10618079,51.77813,50278.6992,0.34208,5
21,Zu12100236,11165534,48.50207393,32145.8008,0.237647298,5
22,Zu7260015,10173797,53.18873814,86684.0,0.478505534,5
23,Zu7210133,15491980,54.03626619,1320097.0,0.59472979,5
24,Zu7250761,739960,48.556116499999995,81852.0,0.364271845,5
25,Zu7250768,737551,48.31821705,85936.0,1.0786821709999999,5
26,Zu7250739,1646359,54.01907429,1068981.0,10.57587446,5
27,Zu5120148,337978,51.55078366,186297.0,10.07178823,5
28,Zu7250801,338093,52.89598811,238664.0,16.14392645,5
29,Zu7250790,910564,52.17832638,585173.0,16.12944421,5
30,Zu7250806,243868,54.53048624,156871.0,13.31926936,5
31,Zu7250740,1906306,53.7984287,1364470.0,12.4944088,5
32,Zu7250809,252191,54.27865714,169053.0,12.04263467,5
33,Zu7250800,242653,55.21888735,160930.0,14.23759889,5
34,Zu7250812,242064,55.20658758,160078.0,11.852725900000001,5
35,Zu7250795,237591,53.93499367,111864.0,5.401266357000001,5
36,Zu7250811,244323,54.69252987,162815.0,15.84954707,5
37,Zu7250805,243727,55.62795586,182610.0,15.00525486,5
